Type,Option_expiry,1M,3M,6M,1Y,2Y,3Y,5Y,7Y,10Y,15Y,20Y,25Y,30Y,50Y
Beta,10Y,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Beta,15Y,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Beta,1D,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Beta,1M,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Beta,1W,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Beta,1Y,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Beta,1Y6M,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Beta,20Y,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Beta,2M,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Beta,2Y,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Beta,30Y,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Beta,3M,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Beta,3Y,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Beta,5Y,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Beta,6M,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Beta,7Y,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Beta,9M,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Forward,10Y,2.73270766,2.735851604,2.759683559,2.770658686,2.800733111,2.805733628,2.799769291,2.798518843,2.794629143,2.765571674,2.731743513,2.697735944,2.671462807,2.653172403
Forward,15Y,2.745116325,2.742033635,2.78226107,2.79234068,2.795120939,2.79513903,2.78884495,2.77216592,2.745215744,2.703258326,2.663977727,2.635728827,2.627305608,2.624256103
Forward,1D,1.561711474,1.643005166,1.737452756,1.883433665,2.060063211,2.155619976,2.26604402,2.345456895,2.444243788,2.549446916,2.599291909,2.614452282,2.613134258,2.593894687
Forward,1M,1.566361244,1.679972815,1.779965558,1.926593798,2.089900969,2.177813947,2.281386288,2.358069417,2.454511645,2.556814863,2.604981791,2.618919156,2.616853781,2.59663857
Forward,1W,1.559876358,1.650249151,1.748991096,1.893086296,2.064035488,2.158672795,2.266940634,2.346391767,2.445133479,2.549156131,2.598654611,2.61335289,2.611763984,2.592427717
Forward,1Y,2.130978311,2.129004664,2.189154168,2.240165988,2.295920316,2.33524151,2.396563046,2.457747356,2.536488286,2.615721865,2.649627872,2.653697044,2.645485642,2.618238553
Forward,1Y6M,2.115558219,2.284589088,2.291137124,2.316227325,2.34700786,2.378586291,2.435950717,2.493374093,2.568326041,2.637406638,2.665243919,2.665597295,2.654601944,2.625433679
Forward,20Y,2.67907865,2.703587448,2.738298033,2.739262431,2.726832637,2.717643342,2.696154346,2.678817286,2.652509265,2.611949936,2.585348699,2.582555637,2.587592255,2.59349394
Forward,2M,1.44083669,1.702713445,1.827713673,1.967215669,2.117715538,2.197356793,2.29529375,2.369823651,2.46377355,2.56354542,2.610180405,2.623052537,2.620287417,2.599208887
Forward,2Y,2.281549406,2.319317013,2.341840991,2.353413519,2.384741333,2.410989425,2.468428069,2.524733551,2.596729546,2.656055148,2.678064033,2.674929655,2.661612667,2.63113952
